Title,Company,Location,Remote,Link,Source,Term,Skills,Lat,Lon
Hydrologin / Hydrologe oder Naturwissenschaftlerin / Naturwissenschaftler (w/m/d) für den Bereich Gebietshydrologie - hydrologische Gutachten,Bayerisches Landesamt für Umwelt,Augsburg,False,https://www.greenjobs.de/stellenanzeige/hydrologin-hydrologe-oder-naturwissenschaftlerin-naturwissenschaftler-fuer-den-bereich-gebietshydrologie-hydrologische-gutachten--100151535/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,"GIS/Remote Sensing, Planning/Law",48.3690341,10.8979522
"Wissenschaftliche Mitarbeiterin / Wissenschaftlicher Mitarbeiter (m/w/d) (Uni-Diplom/Master) Fachrichtung Biologie, Gewässerökologie oder Geo-/Umweltwissenschaften",Bundesanstalt für Gewässerkunde,Koblenz,False,https://www.greenjobs.de/stellenanzeige/wissenschaftliche-mitarbeiterin-wissenschaftlicher-mitarbeiter-uni-diplom-master-fachrichtung-biologie-gewaesseroekologie-oder-geo-umweltwissenschaften--100151532/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,50.3533278,7.5943951
Wissenschaftliche Sachbearbeiterin / wissenschaftlicher Sachbearbeiter (m/w/d) - Fachrichtung: Wasserwirtschaft / Umweltwissenschaften,"Niedersächsischer Landesbetrieb für Wasserwirtschaft, Küsten- und Naturschutz (N...",Norden,False,https://www.greenjobs.de/stellenanzeige/wissenschaftliche-sachbearbeiterin-wissenschaftlicher-sachbearbeiter-fachrichtung-wasserwirtschaft-umweltwissenschaften--100151512/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,53.5942039,7.2067435
Klimaschutzkoordinator:in (w/m/d),Ev.-luth. Kirchenkreis Emden-,Leer,False,https://www.greenjobs.de/stellenanzeige/klimaschutzkoordinator--100151508/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,53.2049511,7.4595298
Umweltplaner (gn*),Planungsbüro Fischer Partnerschaftsgesellschaft mbB,Wettenberg,False,https://www.greenjobs.de/stellenanzeige/umweltplaner-gn--100150943/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,50.6372722,8.648955
Referent/in ‚Monitoring‘ (m/w/d),NABU-Stiftung Nationales Naturerbe,Berlin,False,https://www.greenjobs.de/stellenanzeige/referent-monitoring--100151480/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.5173885,13.3951309
"Akademiker (m/w/d) aus dem Bereich Umweltwissenschaften, Geographie, Biologie, Ökologie",EFOR-ERSA ingénieurs-conseils  2422 Luxembourg,Deutschland,False,https://www.greenjobs.de/stellenanzeige/akademiker-aus-dem-bereich-umweltwissenschaften-geographie-biologie-oekologie--100151474/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,,
Technische/r Sachbearbeiter/in (m/w/d) für den Fachbereich Seen - in Teilzeit,"Hessisches Landesamt für Naturschutz, Umwelt und Geologie (HLNUG)",Kassel,False,https://www.greenjobs.de/stellenanzeige/technische-sachbearbeiter-fuer-den-fachbereich-seen-in-teilzeit--100151447/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,51.3157833,9.4978479
Projektleiter Boden- und Grundwasserschutz (w/m/d),Infraserv GmbH & Co. Höchst KG    am Main,Frankfurt,False,https://www.greenjobs.de/stellenanzeige/projektleiter-boden-und-grundwasserschutz--100151443/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,50.1106444,8.6820917
Projektmitarbeiter*in (m/w/d) Forum Zukunftslandschaft,Regenerate Forum gGmbH   Bodenseekreis,Deutschland,False,https://www.greenjobs.de/stellenanzeige/projektmitarbeiter-forum-zukunftslandschaft--100151437/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,,
Referent*in für Naturschutz (m/w/d),NABU Rheinland-Pfalz,Mainz,False,https://www.greenjobs.de/stellenanzeige/referent-fuer-naturschutz--100151426/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,49.9995205,8.2736253
Wissenschaftliche Mitarbeiterin / Wissenschaftlicher Mitarbeiter (w/m/d) für den Bereich Klimabildung - in Teilzeit,Bayerisches Landesamt für Umwelt,Regensburg,False,https://www.greenjobs.de/stellenanzeige/wissenschaftliche-mitarbeiterin-wissenschaftlicher-mitarbeiter-fuer-den-bereich-klimabildung-in-teilzeit--100151378/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,49.0195333,12.0974869
Studentische Projektassistenz (M/W/D) – adelphi research gGmbH,adelphi consult GmbH,Berlin,False,https://www.greenjobs.de/stellenanzeige/studentische-projektassistenz-adelphi-research-ggmbh--100151370/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.5173885,13.3951309
Sachbearbeiterin / Sachbearbeiter (w/m/d) für das Grundwassermessnetz,Landesanstalt für Umwelt Baden-Württemberg,Karlsruhe,False,https://www.greenjobs.de/stellenanzeige/sachbearbeiterin-sachbearbeiter-fuer-das-grundwassermessnetz--100151357/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Lab/Field,49.0068705,8.4034195
Projektmanager/-in (m/w/d) für das Interreg-Projekt WETLANDERS,Amt für regionale Landesentwicklung Weser-Ems,Oldenburg,False,https://www.greenjobs.de/stellenanzeige/projektmanager-fuer-das-interreg-projekt-wetlanders--100151313/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,53.1389753,8.2146017
Umweltbaubegleitung (w/m/d),Mailänder Consult GmbH,Karlsruhe,False,https://www.greenjobs.de/stellenanzeige/umweltbaubegleitung--100149723/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,49.0068705,8.4034195
2 Trainees für den Naturschutz (w/m/d),Bundesforst der Bundesanstalt für Immobilien­aufgaben,Bonn,False,https://www.greenjobs.de/stellenanzeige/2-trainees-fuer-den-naturschutz--100151286/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,50.7352621,7.1024635
Referent*In für immissionsschutzrechtliche Genehmigungsverfahren (m/w/d) (Umweltrecht),Landesamt für Umwelt Brandenburg    (Oder) / hybrid,Frankfurt,False,https://www.greenjobs.de/stellenanzeige/referent-fuer-immissionsschutzrechtliche-genehmigungsverfahren-umweltrecht--100151254/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Planning/Law,50.1106444,8.6820917
Umwelt-/ Landschaftsplaner (w/m/d),Die Landschaftsplaner GmbH,Hannover,False,https://www.greenjobs.de/stellenanzeige/umwelt-landschaftsplaner--100078718/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.3744779,9.7385532
Projektleiter/in Schallimmissionsschutz (m/w/d),AMT Ingenieurgesellschaft mbH    (Kirchhorst),Isernhagen,False,https://www.greenjobs.de/stellenanzeige/projektleiter-schallimmissionsschutz--100143397/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,52.4526275,9.8602096
Landschafts- und Umweltplaner (m/w/d),Gesellschaft für angewandte Ökologie und Umweltplanung mbH (GefaÖ),Leipzig,False,https://www.greenjobs.de/stellenanzeige/landschafts-und-umweltplaner--100151193/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,51.3406321,12.3747329
Werkstudent:in Infektionsepidemiologie und Lebensmittelsicherheit,"Behörde für Umwelt, Klima, Energie und Agrarwirtschaft",Hamburg,False,https://www.greenjobs.de/stellenanzeige/werkstudent-infektionsepidemiologie-und-lebensmittelsicherheit--100151069/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,53.550341,10.000654
Umweltplaner (m/w/d),"BBL Projekt GmbH   Lüneburg, Lippstadt, , Braunschweig",Nürnberg,False,https://www.greenjobs.de/stellenanzeige/umweltplaner--100140690/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,49.453872,11.077298
Projektmitarbeiter Flächenmanagement (m/w/x),Sweco GmbH,Karlsruhe,False,https://www.greenjobs.de/stellenanzeige/projektmitarbeiter-flaechenmanagement--100151055/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,General,49.0068705,8.4034195
Projektingenieur (m/w/d) für landw. Mediation / Wegerecht im Leitungsbau,Geries Ingenieure GmbH   Zeven /,Oldenburg,False,https://www.greenjobs.de/stellenanzeige/projektingenieur-fuer-landw-mediation-wegerecht-im-leitungsbau--100148309/?s=umweltwissenschaften,Greenjobs,umweltwissenschaften,Planning/Law,53.1389753,8.2146017
